1,4,2021
2,6,2022
3,1,2022
4,8,2020
5,10,2020
6,4,2020
7,1,2020
8,3,2021
9,10,2021
10,7,2021
11,10,2021
12,7,2021
13,6,2020
14,2,2022
15,7,2022
16,9,2021
17,5,2020
18,1,2021
19,10,2022
20,7,2022
21,10,2021
22,10,2022
23,2,2021
24,2,2022
25,5,2020
26,4,2022
27,3,2021
28,8,2021
29,3,2020
30,7,2020
31,9,2021
32,7,2022
33,9,2021
34,2,2022
35,2,2020
36,8,2021
37,7,2021
38,2,2021
39,1,2021
40,2,2020
41,7,2020
42,5,2022
43,4,2020
44,4,2021
45,10,2021
46,7,2020
47,4,2021
48,8,2021
49,2,2022
50,1,2020
51,10,2020
52,2,2021
53,1,2020
54,1,2021
55,4,2022
56,10,2021
57,5,2021
58,10,2021
59,2,2021
60,10,2020
61,4,2021
62,1,2020
63,9,2022
64,5,2021
65,3,2020
66,3,2021
67,8,2022
68,1,2020
69,8,2021
70,7,2021
71,5,2021
72,8,2020
73,2,2022
74,10,2020
75,6,2020
76,5,2022
77,5,2022
78,7,2022
79,10,2022
80,7,2022
81,9,2020
82,6,2020
83,6,2022
84,4,2022
85,4,2020
86,2,2021
87,2,2021
88,1,2021
89,8,2020
90,6,2021
91,4,2022
92,2,2022
93,2,2020
94,1,2022
95,7,2022
96,2,2020
97,3,2020
98,9,2020
99,5,2021
100,5,2022
