46,40
18,18
1,86
85,100
4,73
40,3
93,65
86,64
31,23
45,10
88,65
67,100
62,43
57,24
71,93
23,56
25,81
69,73
14,100
26,39
87,57
82,59
50,4
14,24
4,45
81,29
14,56
50,68
32,94
31,97
22,85
15,50
95,26
89,48
50,10
74,62
63,53
42,20
96,44
24,40
4,8
57,41
31,46
80,57
61,25
40,6
29,93
57,73
11,30
99,57
75,56
32,8
66,13
84,58
80,37
34,73
6,69
84,11
9,68
59,29
44,51
34,15
65,61
80,14
33,61
36,76
17,90
56,89
21,27
24,74
64,87
8,8
61,35
7,75
86,44
14,41
28,41
100,34
21,39
63,33
26,1
58,70
4,45
27,66
77,58
14,34
61,62
81,12
58,81
96,85
30,28
43,17
63,6
86,31
49,61
90,75
13,17
20,41
64,12
56,76
